;Rank;Rider;Team;Times;Gap;B;P;Stages;Ranking type;Points;Checkpoint;Year;Distance (km);Number of stages;ResultType;TotalSeconds;GapSeconds
457716;1;GREGAARD JONAS WILSLY;UNO-X PRO CYCLING TEAM;;;;;1;Climber (Stage);2 PTS;;2023;3404;21;time;0;0
457717;1;PASCAL EENKHOORN;LOTTO DSTNY;;;;;1;Climber (Stage);2 PTS;;2023;3404;21;time;0;0
457718;1;JONAS ABRAHAMSEN;UNO-X PRO CYCLING TEAM;;;;;1;Climber (Stage);1 PTS;;2023;3404;21;time;0;0
457719;1;NEILSON POWLESS;EF EDUCATION - EASYPOST;;;;;1;Climber (Stage);5 PTS;;2023;3404;21;time;0;0
457720;1;TADEJ POGAČAR;UAE TEAM EMIRATES;;;;;1;Climber (Stage);2 PTS;;2023;3404;21;time;0;0
457721;2;PASCAL EENKHOORN;LOTTO DSTNY;;;;;1;Climber (Stage);1 PTS;;2023;3404;21;time;0;0
457722;2;SIMON GUGLIELMI;TEAM ARKEA - SAMSIC;;;;;1;Climber (Stage);1 PTS;;2023;3404;21;time;0;0
457723;2;GEORG ZIMMERMANN;INTERMARCHÉ - CIRCUS - WANTY;;;;;1;Climber (Stage);3 PTS;;2023;3404;21;time;0;0
457724;2;JONAS VINGEGAARD HANSEN;JUMBO-VISMA;;;;;1;Climber (Stage);1 PTS;;2023;3404;21;time;0;0
457725;3;JHOAN ESTEBAN CHAVES RUBIO;EF EDUCATION - EASYPOST;;;;;1;Climber (Stage);2 PTS;;2023;3404;21;time;0;0
457726;4;DYLAN VAN BAARLE;JUMBO-VISMA;;;;;1;Climber (Stage);1 PTS;;2023;3404;21;time;0;0
457727;1;ADAM YATES;UAE TEAM EMIRATES;04h 22' 49'';-;10';;1;Individual (Stage);;;2023;3404;21;time;15769;0
457728;10;DAVID GAUDU;GROUPAMA - FDJ;04h 23' 01'';+ 00h 00' 12'';;;1;Individual (Stage);;;2023;3404;21;time;15781;12
457729;100;STEFAN KÜNG;GROUPAMA - FDJ;04h 33' 52'';+ 00h 11' 03'';;;1;Individual (Stage);;;2023;3404;21;time;16432;663
457730;101;FRED WRIGHT;BAHRAIN VICTORIOUS;04h 33' 52'';+ 00h 11' 03'';;;1;Individual (Stage);;;2023;3404;21;time;16432;663
457731;102;ANTHONY PEREZ;COFIDIS;04h 33' 52'';+ 00h 11' 03'';;;1;Individual (Stage);;;2023;3404;21;time;16432;663
457732;103;MICHAEL GOGL;ALPECIN-DECEUNINCK;04h 33' 52'';+ 00h 11' 03'';;;1;Individual (Stage);;;2023;3404;21;time;16432;663
457733;104;ANTONIO PEDRERO;MOVISTAR TEAM;04h 33' 52'';+ 00h 11' 03'';;;1;Individual (Stage);;;2023;3404;21;time;16432;663
457734;105;GREGOR MÜHLBERGER;MOVISTAR TEAM;04h 33' 52'';+ 00h 11' 03'';;;1;Individual (Stage);;;2023;3404;21;time;16432;663
457735;106;CLÉMENT CHAMPOUSSIN;TEAM ARKEA - SAMSIC;04h 34' 34'';+ 00h 11' 45'';;;1;Individual (Stage);;;2023;3404;21;time;16474;705
457736;107;MIKKEL BJERG;UAE TEAM EMIRATES;04h 34' 39'';+ 00h 11' 50'';;;1;Individual (Stage);;;2023;3404;21;time;16479;710
457737;108;TIM DECLERCQ;SOUDAL QUICK-STEP;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457738;109;JONAS RICKAERT;ALPECIN-DECEUNINCK;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457739;11;WOUT VAN AERT;JUMBO-VISMA;04h 23' 01'';+ 00h 00' 12'';;;1;Individual (Stage);;;2023;3404;21;time;15781;12
457740;110;YVES LAMPAERT;SOUDAL QUICK-STEP;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457741;111;GUILLAUME BOIVIN;ISRAEL - PREMIER TECH;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457742;112;FLORIAN VERMEERSCH;LOTTO DSTNY;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457743;113;AXEL ZINGLE;COFIDIS;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457744;114;JENTHE BIERMANS;TEAM ARKEA - SAMSIC;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457745;115;STAN DEWULF;AG2R CITROEN TEAM;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457746;116;SIMON GUGLIELMI;TEAM ARKEA - SAMSIC;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457747;117;LUKE DURBRIDGE;TEAM JAYCO ALULA;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457748;118;NIKIAS ARNDT;BAHRAIN VICTORIOUS;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457749;119;BRYAN COQUARD;COFIDIS;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457750;12;MIKEL LANDA MEANA;BAHRAIN VICTORIOUS;04h 23' 01'';+ 00h 00' 12'';;;1;Individual (Stage);;;2023;3404;21;time;15781;12
457751;120;JOHN DEGENKOLB;TEAM DSM - FIRMENICH;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457752;121;QUINN SIMMONS;LIDL - TREK;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457753;122;MARCO HALLER;BORA - HANSGROHE;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457754;123;NILS EEKHOFF;TEAM DSM - FIRMENICH;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457755;124;OLIVER NAESEN;AG2R CITROEN TEAM;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457756;125;JASPER STUYVEN;LIDL - TREK;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457757;126;ADRIEN PETIT;INTERMARCHÉ - CIRCUS - WANTY;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457758;127;BENOIT COSNEFROY;AG2R CITROEN TEAM;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457759;128;G LAWSON CRADDOCK;TEAM JAYCO ALULA;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457760;129;MATTEO TRENTIN;UAE TEAM EMIRATES;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457761;13;CARLOS RODRIGUEZ;INEOS GRENADIERS;04h 23' 01'';+ 00h 00' 12'';;;1;Individual (Stage);;;2023;3404;21;time;15781;12
457762;130;ALEX KIRSCH;LIDL - TREK;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457763;131;JASPER PHILIPSEN;ALPECIN-DECEUNINCK;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
